Date,Document,Supplier Name,Payment Ref #Invoice number,Description,Debit (Amount Owed),Credit (Payments/Credit Notes Applied)
8/2/2024,Payment,Engen,PAY_PINV2041,Payment for PINV2041,,28750.0
8/2/2024,Invoice,Total,PINV2499,Gasoline Delivery,18750.0,
8/2/2024,Payment,Engen,PAY_PINV2499,Payment for PINV2499,,18750.0
8/2/2024,Invoice,Total,PINV2399,Diesel Delivery,32000.0,
8/2/2024,Payment,Engen,PAY_PINV2399,Payment for PINV2399,,32000.0
8/2/2024,Invoice,Total,PINV2032,Diesel Delivery,16800.0,
8/2/2024,Payment,Engen,PAY_PINV2032,Payment for PINV2032,,16800.0
8/3/2024,Invoice,Total,PINV2020,Diesel Delivery,30500.0,
8/3/2024,Payment,Engen,PAY_PINV2020,Payment for PINV2020,,30500.0
8/3/2024,Invoice,Total,PINV2027,Diesel Delivery,32700.0,
8/3/2024,Payment,Engen,PAY_PINV2027,Payment for PINV2027,,32700.0
8/4/2024,Invoice,Total,PINV2053,Diesel Delivery,21800.0,
8/4/2024,Payment,Engen,PAY_PINV2053,Payment for PINV2053,,21800.0
8/4/2024,Invoice,Total,PINV2394,Gasoline Delivery,28000.0,
8/4/2024,Payment,Engen,PAY_PINV2394,Payment for PINV2394,,28000.0
8/4/2024,Invoice,Total,PINV2033,Diesel Delivery,16050.0,
8/4/2024,Payment,Engen,PAY_PINV2033,Payment for PINV2033,,16050.0
8/4/2024,Invoice,Total,PINV2457,Gasoline Delivery,33500.0,
8/4/2024,Payment,Engen,PAY_PINV2457,Payment for PINV2457,,33500.0
8/4/2024,Invoice,Total,PINV2343,Diesel Delivery,29750.0,
8/4/2024,Payment,Engen,PAY_PINV2343,Payment for PINV2343,,29750.0
8/4/2024,Invoice,Total,PINV2311,Diesel Delivery,24000.0,
8/4/2024,Payment,Engen,PAY_PINV2311,Payment for PINV2311,,24000.0
8/4/2024,Invoice,Total,PINV2282,Gasoline Delivery,39900.0,
8/4/2024,Payment,Engen,PAY_PINV2282,Payment for PINV2282,,39900.0
8/5/2024,Invoice,Total,PINV2141,Gasoline Delivery,17100.0,
8/5/2024,Payment,Engen,PAY_PINV2141,Payment for PINV2141,,17100.0
8/5/2024,Invoice,Total,PINV2101,Gasoline Delivery,30000.0,
8/5/2024,Payment,Engen,PAY_PINV2101,Payment for PINV2101,,30000.0
8/5/2024,Invoice,Total,PINV2514,Gasoline Delivery,25200.0,
8/5/2024,Payment,Engen,PAY_PINV2514,Payment for PINV2514,,25200.0
8/5/2024,Invoice,Total,PINV2463,Diesel Delivery,22600.0,
8/5/2024,Payment,Engen,PAY_PINV2463,Payment for PINV2463,,22600.0
8/5/2024,Invoice,Total,PINV2337,Gasoline Delivery,37200.0,
8/5/2024,Payment,Engen,PAY_PINV2337,Payment for PINV2337,,37200.0
8/5/2024,Invoice,Total,PINV2027,Gasoline Delivery,39000.0,
8/5/2024,Payment,Engen,PAY_PINV2027,Payment for PINV2027,,39000.0
8/5/2024,Invoice,Total,PINV2532,Gasoline Delivery,17850.0,
8/5/2024,Payment,Engen,PAY_PINV2532,Payment for PINV2532,,17850.0
8/5/2024,Invoice,Total,PINV2541,Gasoline Delivery,16800.0,
8/5/2024,Payment,Engen,PAY_PINV2541,Payment for PINV2541,,16800.0
8/5/2024,Invoice,Total,PINV2421,Diesel Delivery,19050.0,
8/5/2024,Payment,Engen,PAY_PINV2421,Payment for PINV2421,,19050.0
8/5/2024,Invoice,Total,PINV2437,Gasoline Delivery,29250.0,
8/5/2024,Payment,Engen,PAY_PINV2437,Payment for PINV2437,,29250.0
8/6/2024,Invoice,Total,PINV2173,Gasoline Delivery,33600.0,
8/6/2024,Payment,Engen,PAY_PINV2173,Payment for PINV2173,,33600.0
8/6/2024,Invoice,Total,PINV2238,Diesel Delivery,16950.0,
8/6/2024,Payment,Engen,PAY_PINV2238,Payment for PINV2238,,16950.0
8/6/2024,Invoice,Total,PINV2288,Diesel Delivery,27000.0,
8/6/2024,Payment,Engen,PAY_PINV2288,Payment for PINV2288,,27000.0
8/6/2024,Invoice,Total,PINV2349,Gasoline Delivery,17100.0,
8/6/2024,Payment,Engen,PAY_PINV2349,Payment for PINV2349,,17100.0
8/6/2024,Invoice,Total,PINV2092,Diesel Delivery,26750.0,
8/6/2024,Payment,Engen,PAY_PINV2092,Payment for PINV2092,,26750.0
8/6/2024,Invoice,Total,PINV2190,Diesel Delivery,35100.0,
8/6/2024,Payment,Engen,PAY_PINV2190,Payment for PINV2190,,35100.0
8/6/2024,Invoice,Total,PINV2143,Gasoline Delivery,37200.0,
8/6/2024,Payment,Engen,PAY_PINV2143,Payment for PINV2143,,37200.0
8/6/2024,Invoice,Total,PINV2370,Diesel Delivery,15900.0,
8/6/2024,Payment,Engen,PAY_PINV2370,Payment for PINV2370,,15900.0
8/7/2024,Invoice,Total,PINV2255,Diesel Delivery,31500.0,
8/7/2024,Payment,Engen,PAY_PINV2255,Payment for PINV2255,,31500.0
8/7/2024,Invoice,Total,PINV2322,Diesel Delivery,25600.0,
8/7/2024,Payment,Engen,PAY_PINV2322,Payment for PINV2322,,25600.0
8/7/2024,Invoice,Total,PINV2184,Diesel Delivery,24000.0,
8/7/2024,Payment,Engen,PAY_PINV2184,Payment for PINV2184,,24000.0
8/7/2024,Invoice,Total,PINV2183,Gasoline Delivery,27750.0,
8/7/2024,Payment,Engen,PAY_PINV2183,Payment for PINV2183,,27750.0
8/7/2024,Invoice,Total,PINV2262,Diesel Delivery,23200.0,
8/7/2024,Payment,Engen,PAY_PINV2262,Payment for PINV2262,,23200.0
8/7/2024,Invoice,Total,PINV2508,Gasoline Delivery,19650.0,
8/7/2024,Payment,Engen,PAY_PINV2508,Payment for PINV2508,,19650.0
8/8/2024,Invoice,Total,PINV2123,Diesel Delivery,31750.0,
8/8/2024,Payment,Engen,PAY_PINV2123,Payment for PINV2123,,31750.0
8/9/2024,Invoice,Total,PINV2126,Gasoline Delivery,18600.0,
8/9/2024,Payment,Engen,PAY_PINV2126,Payment for PINV2126,,18600.0
8/9/2024,Invoice,Total,PINV2081,Diesel Delivery,23200.0,
8/9/2024,Payment,Engen,PAY_PINV2081,Payment for PINV2081,,23200.0
8/9/2024,Invoice,Total,PINV2299,Diesel Delivery,31800.0,
8/9/2024,Payment,Engen,PAY_PINV2299,Payment for PINV2299,,31800.0
8/9/2024,Invoice,Total,PINV2333,Diesel Delivery,31500.0,
8/9/2024,Payment,Engen,PAY_PINV2333,Payment for PINV2333,,31500.0
8/9/2024,Invoice,Total,PINV2229,Gasoline Delivery,23800.0,
8/9/2024,Payment,Engen,PAY_PINV2229,Payment for PINV2229,,23800.0
8/10/2024,Invoice,Total,PINV2245,Gasoline Delivery,18450.0,
8/10/2024,Payment,Engen,PAY_PINV2245,Payment for PINV2245,,18450.0
8/10/2024,Invoice,Total,PINV2533,Gasoline Delivery,17100.0,
8/10/2024,Payment,Engen,PAY_PINV2533,Payment for PINV2533,,17100.0
8/10/2024,Invoice,Total,PINV2143,Diesel Delivery,32250.0,
8/10/2024,Payment,Engen,PAY_PINV2143,Payment for PINV2143,,32250.0
8/11/2024,Invoice,Total,PINV2525,Gasoline Delivery,23200.0,
8/11/2024,Payment,Engen,PAY_PINV2525,Payment for PINV2525,,23200.0
8/11/2024,Invoice,Total,PINV2354,Diesel Delivery,18900.0,
8/11/2024,Payment,Engen,PAY_PINV2354,Payment for PINV2354,,18900.0
8/11/2024,Invoice,Total,PINV2097,Gasoline Delivery,22200.0,
8/11/2024,Payment,Engen,PAY_PINV2097,Payment for PINV2097,,22200.0
8/11/2024,Invoice,Total,PINV2177,Diesel Delivery,30250.0,
8/11/2024,Payment,Engen,PAY_PINV2177,Payment for PINV2177,,30250.0
8/11/2024,Invoice,Total,PINV2128,Gasoline Delivery,34800.0,
8/11/2024,Payment,Engen,PAY_PINV2128,Payment for PINV2128,,34800.0
8/11/2024,Invoice,Total,PINV2420,Diesel Delivery,16350.0,
8/11/2024,Payment,Engen,PAY_PINV2420,Payment for PINV2420,,16350.0
8/11/2024,Invoice,Total,PINV2488,Gasoline Delivery,26200.0,
8/11/2024,Payment,Engen,PAY_PINV2488,Payment for PINV2488,,26200.0
8/11/2024,Invoice,Total,PINV2023,Gasoline Delivery,33500.0,
8/11/2024,Payment,Engen,PAY_PINV2023,Payment for PINV2023,,33500.0
8/11/2024,Invoice,Total,PINV2485,Gasoline Delivery,29500.0,
8/11/2024,Payment,Engen,PAY_PINV2485,Payment for PINV2485,,29500.0
8/11/2024,Invoice,Total,PINV2304,Diesel Delivery,19500.0,
8/11/2024,Payment,Engen,PAY_PINV2304,Payment for PINV2304,,19500.0
8/12/2024,Invoice,Total,PINV2260,Gasoline Delivery,18450.0,
8/12/2024,Payment,Engen,PAY_PINV2260,Payment for PINV2260,,18450.0
8/12/2024,Invoice,Total,PINV2354,Gasoline Delivery,38400.0,
8/12/2024,Payment,Engen,PAY_PINV2354,Payment for PINV2354,,38400.0
8/12/2024,Invoice,Total,PINV2005,Gasoline Delivery,32000.0,
8/12/2024,Payment,Engen,PAY_PINV2005,Payment for PINV2005,,32000.0
8/12/2024,Invoice,Total,PINV2320,Diesel Delivery,23800.0,
8/12/2024,Payment,Engen,PAY_PINV2320,Payment for PINV2320,,23800.0
8/12/2024,Invoice,Total,PINV2358,Gasoline Delivery,30500.0,
8/12/2024,Payment,Engen,PAY_PINV2358,Payment for PINV2358,,30500.0
8/12/2024,Invoice,Total,PINV2505,Gasoline Delivery,17550.0,
8/12/2024,Payment,Engen,PAY_PINV2505,Payment for PINV2505,,17550.0
8/12/2024,Invoice,Total,PINV2227,Gasoline Delivery,37800.0,
8/12/2024,Payment,Engen,PAY_PINV2227,Payment for PINV2227,,37800.0
8/12/2024,Invoice,Total,PINV2384,Diesel Delivery,25400.0,
8/12/2024,Payment,Engen,PAY_PINV2384,Payment for PINV2384,,25400.0
8/13/2024,Invoice,Total,PINV2161,Gasoline Delivery,28000.0,
8/13/2024,Payment,Engen,PAY_PINV2161,Payment for PINV2161,,28000.0
8/13/2024,Invoice,Total,PINV2259,Gasoline Delivery,19950.0,
8/13/2024,Payment,Engen,PAY_PINV2259,Payment for PINV2259,,19950.0
8/13/2024,Invoice,Total,PINV2382,Gasoline Delivery,30500.0,
8/13/2024,Payment,Engen,PAY_PINV2382,Payment for PINV2382,,30500.0
8/13/2024,Invoice,Total,PINV2031,Diesel Delivery,37500.0,
8/13/2024,Payment,Engen,PAY_PINV2031,Payment for PINV2031,,37500.0
8/13/2024,Invoice,Total,PINV2456,Diesel Delivery,31000.0,
8/13/2024,Payment,Engen,PAY_PINV2456,Payment for PINV2456,,31000.0
8/13/2024,Invoice,Total,PINV2290,Gasoline Delivery,32500.0,
8/13/2024,Payment,Engen,PAY_PINV2290,Payment for PINV2290,,32500.0
8/14/2024,Invoice,Total,PINV2273,Gasoline Delivery,33250.0,
8/14/2024,Payment,Engen,PAY_PINV2273,Payment for PINV2273,,33250.0
8/14/2024,Invoice,Total,PINV2013,Diesel Delivery,38100.0,
8/14/2024,Payment,Engen,PAY_PINV2013,Payment for PINV2013,,38100.0
8/14/2024,Invoice,Total,PINV2381,Diesel Delivery,23000.0,
8/14/2024,Payment,Engen,PAY_PINV2381,Payment for PINV2381,,23000.0
8/14/2024,Invoice,Total,PINV2340,Diesel Delivery,26750.0,
8/14/2024,Payment,Engen,PAY_PINV2340,Payment for PINV2340,,26750.0
8/14/2024,Invoice,Total,PINV2109,Diesel Delivery,26000.0,
8/14/2024,Payment,Engen,PAY_PINV2109,Payment for PINV2109,,26000.0
8/14/2024,Invoice,Total,PINV2310,Diesel Delivery,38700.0,
8/14/2024,Payment,Engen,PAY_PINV2310,Payment for PINV2310,,38700.0
8/15/2024,Invoice,Total,PINV2424,Diesel Delivery,21000.0,
8/15/2024,Payment,Engen,PAY_PINV2424,Payment for PINV2424,,21000.0
8/15/2024,Invoice,Total,PINV2011,Gasoline Delivery,26600.0,
8/15/2024,Payment,Engen,PAY_PINV2011,Payment for PINV2011,,26600.0
8/15/2024,Invoice,Total,PINV2067,Gasoline Delivery,28500.0,
8/15/2024,Payment,Engen,PAY_PINV2067,Payment for PINV2067,,28500.0
8/15/2024,Invoice,Total,PINV2411,Gasoline Delivery,24000.0,
8/15/2024,Payment,Engen,PAY_PINV2411,Payment for PINV2411,,24000.0
8/15/2024,Invoice,Total,PINV2331,Gasoline Delivery,17100.0,
8/15/2024,Payment,Engen,PAY_PINV2331,Payment for PINV2331,,17100.0
8/15/2024,Invoice,Total,PINV2275,Diesel Delivery,22000.0,
8/15/2024,Payment,Engen,PAY_PINV2275,Payment for PINV2275,,22000.0
8/15/2024,Invoice,Total,PINV2234,Gasoline Delivery,36600.0,
8/15/2024,Payment,Engen,PAY_PINV2234,Payment for PINV2234,,36600.0
8/15/2024,Invoice,Total,PINV2340,Gasoline Delivery,18300.0,
8/15/2024,Payment,Engen,PAY_PINV2340,Payment for PINV2340,,18300.0
8/16/2024,Invoice,Total,PINV2227,Diesel Delivery,26750.0,
8/16/2024,Payment,Engen,PAY_PINV2227,Payment for PINV2227,,26750.0
8/16/2024,Invoice,Total,PINV2152,Diesel Delivery,19200.0,
8/16/2024,Payment,Engen,PAY_PINV2152,Payment for PINV2152,,19200.0
8/16/2024,Invoice,Total,PINV2418,Diesel Delivery,21000.0,
8/16/2024,Payment,Engen,PAY_PINV2418,Payment for PINV2418,,21000.0
8/16/2024,Invoice,Total,PINV2025,Gasoline Delivery,18900.0,
8/16/2024,Payment,Engen,PAY_PINV2025,Payment for PINV2025,,18900.0
8/16/2024,Invoice,Total,PINV2219,Gasoline Delivery,18150.0,
8/16/2024,Payment,Engen,PAY_PINV2219,Payment for PINV2219,,18150.0
8/16/2024,Invoice,Total,PINV2078,Gasoline Delivery,25000.0,
8/16/2024,Payment,Engen,PAY_PINV2078,Payment for PINV2078,,25000.0
8/17/2024,Invoice,Total,PINV2348,Gasoline Delivery,17550.0,
8/17/2024,Payment,Engen,PAY_PINV2348,Payment for PINV2348,,17550.0
8/17/2024,Invoice,Total,PINV2535,Gasoline Delivery,23800.0,
8/17/2024,Payment,Engen,PAY_PINV2535,Payment for PINV2535,,23800.0
8/17/2024,Invoice,Total,PINV2060,Gasoline Delivery,33600.0,
8/17/2024,Payment,Engen,PAY_PINV2060,Payment for PINV2060,,33600.0
8/17/2024,Invoice,Total,PINV2512,Gasoline Delivery,16800.0,
8/17/2024,Payment,Engen,PAY_PINV2512,Payment for PINV2512,,16800.0
8/17/2024,Invoice,Total,PINV2166,Diesel Delivery,25200.0,
8/17/2024,Payment,Engen,PAY_PINV2166,Payment for PINV2166,,25200.0
8/17/2024,Invoice,Total,PINV2359,Diesel Delivery,32400.0,
8/17/2024,Payment,Engen,PAY_PINV2359,Payment for PINV2359,,32400.0
8/17/2024,Invoice,Total,PINV2208,Diesel Delivery,21400.0,
8/17/2024,Payment,Engen,PAY_PINV2208,Payment for PINV2208,,21400.0
8/18/2024,Invoice,Total,PINV2066,Diesel Delivery,34500.0,
8/18/2024,Payment,Engen,PAY_PINV2066,Payment for PINV2066,,34500.0
8/18/2024,Invoice,Total,PINV2270,Gasoline Delivery,34200.0,
8/18/2024,Payment,Engen,PAY_PINV2270,Payment for PINV2270,,34200.0
8/18/2024,Invoice,Total,PINV2127,Diesel Delivery,24800.0,
8/18/2024,Payment,Engen,PAY_PINV2127,Payment for PINV2127,,24800.0
8/19/2024,Invoice,Total,PINV2518,Gasoline Delivery,18150.0,
8/19/2024,Payment,Engen,PAY_PINV2518,Payment for PINV2518,,18150.0
8/19/2024,Invoice,Total,PINV2492,Gasoline Delivery,26000.0,
8/19/2024,Payment,Engen,PAY_PINV2492,Payment for PINV2492,,26000.0
8/19/2024,Invoice,Total,PINV2435,Gasoline Delivery,22600.0,
8/19/2024,Payment,Engen,PAY_PINV2435,Payment for PINV2435,,22600.0
8/19/2024,Invoice,Total,PINV2302,Gasoline Delivery,37800.0,
8/19/2024,Payment,Engen,PAY_PINV2302,Payment for PINV2302,,37800.0
8/19/2024,Invoice,Total,PINV2199,Diesel Delivery,32000.0,
8/19/2024,Payment,Engen,PAY_PINV2199,Payment for PINV2199,,32000.0
8/19/2024,Invoice,Total,PINV2517,Gasoline Delivery,33000.0,
8/19/2024,Payment,Engen,PAY_PINV2517,Payment for PINV2517,,33000.0
8/19/2024,Invoice,Total,PINV2426,Gasoline Delivery,30000.0,
8/19/2024,Payment,Engen,PAY_PINV2426,Payment for PINV2426,,30000.0
8/19/2024,Invoice,Total,PINV2272,Gasoline Delivery,18600.0,
8/19/2024,Payment,Engen,PAY_PINV2272,Payment for PINV2272,,18600.0
8/19/2024,Invoice,Total,PINV2083,Diesel Delivery,22800.0,
8/19/2024,Payment,Engen,PAY_PINV2083,Payment for PINV2083,,22800.0
8/19/2024,Invoice,Total,PINV2171,Gasoline Delivery,39600.0,
8/19/2024,Payment,Engen,PAY_PINV2171,Payment for PINV2171,,39600.0
8/19/2024,Invoice,Total,PINV2463,Gasoline Delivery,31750.0,
8/19/2024,Payment,Engen,PAY_PINV2463,Payment for PINV2463,,31750.0
8/20/2024,Invoice,Total,PINV2232,Diesel Delivery,26250.0,
8/20/2024,Payment,Engen,PAY_PINV2232,Payment for PINV2232,,26250.0
8/20/2024,Invoice,Total,PINV2272,Diesel Delivery,37200.0,
8/20/2024,Payment,Engen,PAY_PINV2272,Payment for PINV2272,,37200.0
8/21/2024,Invoice,Total,PINV2398,Gasoline Delivery,32750.0,
8/21/2024,Payment,Engen,PAY_PINV2398,Payment for PINV2398,,32750.0
8/21/2024,Invoice,Total,PINV2416,Diesel Delivery,16500.0,
8/21/2024,Payment,Engen,PAY_PINV2416,Payment for PINV2416,,16500.0
8/21/2024,Invoice,Total,PINV2374,Diesel Delivery,19200.0,
8/21/2024,Payment,Engen,PAY_PINV2374,Payment for PINV2374,,19200.0
8/21/2024,Invoice,Total,PINV2265,Gasoline Delivery,38700.0,
8/21/2024,Payment,Engen,PAY_PINV2265,Payment for PINV2265,,38700.0
8/22/2024,Invoice,Total,PINV2164,Gasoline Delivery,35700.0,
8/22/2024,Payment,Engen,PAY_PINV2164,Payment for PINV2164,,35700.0
8/22/2024,Invoice,Total,PINV2439,Diesel Delivery,33000.0,
8/22/2024,Payment,Engen,PAY_PINV2439,Payment for PINV2439,,33000.0
8/22/2024,Invoice,Total,PINV2446,Diesel Delivery,28500.0,
8/22/2024,Payment,Engen,PAY_PINV2446,Payment for PINV2446,,28500.0
8/23/2024,Invoice,Total,PINV2516,Gasoline Delivery,39900.0,
8/23/2024,Payment,Engen,PAY_PINV2516,Payment for PINV2516,,39900.0
8/23/2024,Invoice,Total,PINV2359,Gasoline Delivery,16500.0,
8/23/2024,Payment,Engen,PAY_PINV2359,Payment for PINV2359,,16500.0
8/23/2024,Invoice,Total,PINV2372,Gasoline Delivery,19500.0,
8/23/2024,Payment,Engen,PAY_PINV2372,Payment for PINV2372,,19500.0
8/23/2024,Invoice,Total,PINV2000,Gasoline Delivery,17100.0,
8/23/2024,Payment,Engen,PAY_PINV2000,Payment for PINV2000,,17100.0
8/23/2024,Invoice,Total,PINV2067,Diesel Delivery,19050.0,
8/23/2024,Payment,Engen,PAY_PINV2067,Payment for PINV2067,,19050.0
8/23/2024,Invoice,Total,PINV2262,Gasoline Delivery,19350.0,
8/23/2024,Payment,Engen,PAY_PINV2262,Payment for PINV2262,,19350.0
8/23/2024,Invoice,Total,PINV2454,Diesel Delivery,29000.0,
8/23/2024,Payment,Engen,PAY_PINV2454,Payment for PINV2454,,29000.0
8/23/2024,Invoice,Total,PINV2415,Diesel Delivery,25000.0,
8/23/2024,Payment,Engen,PAY_PINV2415,Payment for PINV2415,,25000.0
8/24/2024,Invoice,Total,PINV2267,Gasoline Delivery,25600.0,
8/24/2024,Payment,Engen,PAY_PINV2267,Payment for PINV2267,,25600.0
8/24/2024,Invoice,Total,PINV2386,Diesel Delivery,24600.0,
8/24/2024,Payment,Engen,PAY_PINV2386,Payment for PINV2386,,24600.0
8/24/2024,Invoice,Total,PINV2269,Gasoline Delivery,26400.0,
8/24/2024,Payment,Engen,PAY_PINV2269,Payment for PINV2269,,26400.0
8/24/2024,Invoice,Total,PINV2312,Gasoline Delivery,30750.0,
8/24/2024,Payment,Engen,PAY_PINV2312,Payment for PINV2312,,30750.0
8/24/2024,Invoice,Total,PINV2010,Gasoline Delivery,26400.0,
8/24/2024,Payment,Engen,PAY_PINV2010,Payment for PINV2010,,26400.0
8/24/2024,Invoice,Total,PINV2462,Diesel Delivery,30500.0,
8/24/2024,Payment,Engen,PAY_PINV2462,Payment for PINV2462,,30500.0
8/25/2024,Invoice,Total,PINV2313,Diesel Delivery,16950.0,
8/25/2024,Payment,Engen,PAY_PINV2313,Payment for PINV2313,,16950.0
8/25/2024,Invoice,Total,PINV2426,Diesel Delivery,18450.0,
8/25/2024,Payment,Engen,PAY_PINV2426,Payment for PINV2426,,18450.0
8/25/2024,Invoice,Total,PINV2001,Gasoline Delivery,40200.0,
8/25/2024,Payment,Engen,PAY_PINV2001,Payment for PINV2001,,40200.0
8/25/2024,Invoice,Total,PINV2040,Diesel Delivery,23000.0,
8/25/2024,Payment,Engen,PAY_PINV2040,Payment for PINV2040,,23000.0
8/25/2024,Invoice,Total,PINV2046,Gasoline Delivery,19950.0,
8/25/2024,Payment,Engen,PAY_PINV2046,Payment for PINV2046,,19950.0
8/25/2024,Invoice,Total,PINV2376,Diesel Delivery,16650.0,
8/25/2024,Payment,Engen,PAY_PINV2376,Payment for PINV2376,,16650.0
8/25/2024,Invoice,Total,PINV2336,Diesel Delivery,16650.0,
8/25/2024,Payment,Engen,PAY_PINV2336,Payment for PINV2336,,16650.0
8/25/2024,Invoice,Total,PINV2188,Diesel Delivery,38400.0,
8/25/2024,Payment,Engen,PAY_PINV2188,Payment for PINV2188,,38400.0
8/26/2024,Invoice,Total,PINV2271,Diesel Delivery,29250.0,
8/26/2024,Payment,Engen,PAY_PINV2271,Payment for PINV2271,,29250.0
8/26/2024,Invoice,Total,PINV2303,Diesel Delivery,16800.0,
8/26/2024,Payment,Engen,PAY_PINV2303,Payment for PINV2303,,16800.0
8/26/2024,Invoice,Total,PINV2538,Gasoline Delivery,17550.0,
8/26/2024,Payment,Engen,PAY_PINV2538,Payment for PINV2538,,17550.0
8/26/2024,Invoice,Total,PINV2429,Gasoline Delivery,19200.0,
8/26/2024,Payment,Engen,PAY_PINV2429,Payment for PINV2429,,19200.0
8/27/2024,Invoice,Total,PINV2236,Gasoline Delivery,39900.0,
8/27/2024,Payment,Engen,PAY_PINV2236,Payment for PINV2236,,39900.0
8/27/2024,Invoice,Total,PINV2174,Diesel Delivery,34200.0,
8/27/2024,Payment,Engen,PAY_PINV2174,Payment for PINV2174,,34200.0
8/27/2024,Invoice,Total,PINV2238,Gasoline Delivery,29250.0,
8/27/2024,Payment,Engen,PAY_PINV2238,Payment for PINV2238,,29250.0
8/28/2024,Invoice,Total,PINV2172,Gasoline Delivery,17400.0,
8/28/2024,Payment,Engen,PAY_PINV2172,Payment for PINV2172,,17400.0
8/28/2024,Invoice,Total,PINV2214,Gasoline Delivery,25000.0,
8/28/2024,Payment,Engen,PAY_PINV2214,Payment for PINV2214,,25000.0
8/28/2024,Invoice,Total,PINV2336,Gasoline Delivery,37200.0,
8/28/2024,Payment,Engen,PAY_PINV2336,Payment for PINV2336,,37200.0
8/28/2024,Invoice,Total,PINV2223,Gasoline Delivery,24600.0,
8/28/2024,Payment,Engen,PAY_PINV2223,Payment for PINV2223,,24600.0
8/28/2024,Invoice,Total,PINV2297,Diesel Delivery,21800.0,
8/28/2024,Payment,Engen,PAY_PINV2297,Payment for PINV2297,,21800.0
8/28/2024,Invoice,Total,PINV2009,Gasoline Delivery,38100.0,
8/28/2024,Payment,Engen,PAY_PINV2009,Payment for PINV2009,,38100.0
8/29/2024,Invoice,Total,PINV2241,Diesel Delivery,19200.0,
8/29/2024,Payment,Engen,PAY_PINV2241,Payment for PINV2241,,19200.0
8/29/2024,Invoice,Total,PINV2274,Gasoline Delivery,26400.0,
8/29/2024,Payment,Engen,PAY_PINV2274,Payment for PINV2274,,26400.0
8/29/2024,Invoice,Total,PINV2175,Diesel Delivery,24600.0,
8/29/2024,Payment,Engen,PAY_PINV2175,Payment for PINV2175,,24600.0
8/29/2024,Invoice,Total,PINV2347,Gasoline Delivery,19050.0,
8/29/2024,Payment,Engen,PAY_PINV2347,Payment for PINV2347,,19050.0
8/29/2024,Invoice,Total,PINV2161,Diesel Delivery,23200.0,
8/29/2024,Payment,Engen,PAY_PINV2161,Payment for PINV2161,,23200.0
8/29/2024,Invoice,Total,PINV2391,Gasoline Delivery,39000.0,
8/29/2024,Payment,Engen,PAY_PINV2391,Payment for PINV2391,,39000.0
8/29/2024,Invoice,Total,PINV2483,Gasoline Delivery,25200.0,
8/29/2024,Payment,Engen,PAY_PINV2483,Payment for PINV2483,,25200.0
8/30/2024,Invoice,Total,PINV2556,Gasoline Delivery,40200.0,
8/30/2024,Payment,Engen,PAY_PINV2556,Payment for PINV2556,,40200.0
8/30/2024,Invoice,Total,PINV2288,Gasoline Delivery,34800.0,
8/30/2024,Payment,Engen,PAY_PINV2288,Payment for PINV2288,,34800.0
8/30/2024,Invoice,Total,PINV2142,Gasoline Delivery,28750.0,
8/30/2024,Payment,Engen,PAY_PINV2142,Payment for PINV2142,,28750.0
8/30/2024,Invoice,Total,PINV2476,Gasoline Delivery,29000.0,
8/30/2024,Payment,Engen,PAY_PINV2476,Payment for PINV2476,,29000.0
8/31/2024,Invoice,Total,PINV2209,Gasoline Delivery,24800.0,
8/31/2024,Payment,Engen,PAY_PINV2209,Payment for PINV2209,,24800.0
8/31/2024,Invoice,Total,PINV2160,Diesel Delivery,31250.0,
8/31/2024,Payment,Engen,PAY_PINV2160,Payment for PINV2160,,31250.0
8/31/2024,Invoice,Total,PINV2225,Gasoline Delivery,36300.0,
8/31/2024,Payment,Engen,PAY_PINV2225,Payment for PINV2225,,36300.0
8/31/2024,Invoice,Total,PINV2344,Diesel Delivery,37800.0,
8/31/2024,Payment,Engen,PAY_PINV2344,Payment for PINV2344,,37800.0
9/1/2024,Invoice,Total,PINV2557,Gasoline Delivery,29500.0,
9/1/2024,Payment,Engen,PAY_PINV2557,Payment for PINV2557,,29500.0
9/1/2024,Invoice,Total,PINV2339,Diesel Delivery,17850.0,
9/1/2024,Payment,Engen,PAY_PINV2339,Payment for PINV2339,,17850.0
9/1/2024,Invoice,Total,PINV2244,Gasoline Delivery,36300.0,
9/1/2024,Payment,Engen,PAY_PINV2244,Payment for PINV2244,,36300.0
9/1/2024,Invoice,Total,PINV2451,Diesel Delivery,17700.0,
9/1/2024,Payment,Engen,PAY_PINV2451,Payment for PINV2451,,17700.0
9/1/2024,Invoice,Total,PINV2506,Gasoline Delivery,33500.0,
9/1/2024,Payment,Engen,PAY_PINV2506,Payment for PINV2506,,33500.0
9/2/2024,Invoice,Total,PINV2296,Diesel Delivery,25600.0,
9/2/2024,Payment,Engen,PAY_PINV2296,Payment for PINV2296,,25600.0
9/2/2024,Invoice,Total,PINV2099,Diesel Delivery,25800.0,
9/2/2024,Payment,Engen,PAY_PINV2099,Payment for PINV2099,,25800.0
9/2/2024,Invoice,Total,PINV2276,Gasoline Delivery,24400.0,
9/2/2024,Payment,Engen,PAY_PINV2276,Payment for PINV2276,,24400.0
9/2/2024,Invoice,Total,PINV2037,Diesel Delivery,24800.0,
9/2/2024,Payment,Engen,PAY_PINV2037,Payment for PINV2037,,24800.0
9/2/2024,Invoice,Total,PINV2047,Diesel Delivery,37800.0,
9/2/2024,Payment,Engen,PAY_PINV2047,Payment for PINV2047,,37800.0
